"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7.14866895663469,0.015214182175654,469.868762849055,0
"2","DRKMONTHLY",-0.0584101912888647,0.0180746474199408,-3.23160889016423,0.00123163930839186
"3","DRKWEEKLY",-0.0225655518418054,0.0177164806164987,-1.27370397824898,0.202773438925223
