"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","(Intercept)",-2.39977034659231,0.0375153886657115,-63.9676258715044,0,0.0907387893689707,0.084306146165888,0.0976622496768556
"2","DRKMONTHLY",0.00754598480110575,0.0445280521045525,0.16946586352773,0.865430220936767,1.00757452749349,0.92336654728796,1.09946199744349
"3","DRKWEEKLY",0.225307969575073,0.042712443269463,5.2749960510022,1.32758946364513e-07,1.25270845288116,1.15210601018157,1.36209554854469
